ID,Title,Form-factor,Category of BCI,,Type of Media,Description,Keywords,Year,Prediction,BCI forecast,Utopia/Dystopia - tech-wise,Level of invasiveness,Reality factor,Neurafictionality,Neuroptimism,Name of BCI,Author/Directed by,Distributed by,Production Company,Date
60,Black Mirror,implant,"XR, emotions, manipulation",,TV Series,"MASS is a neural implant that affects soldiers’ perception when they’re on the battlefield. Like the Mushroom game implant, MASS is an augmented reality device that adds information to the user’s perception. In the episode, though, it can also alter the user’s senses and perception. The MASS gives the soldier information about their surroundings as they fight on the battlefield and allows them to communicate with each other, but it’s also used to change what they see and experience to make them more effective.
In “Men Against Fire,” the MASS implant is used to alter soldiers’ perceptions so they see enemy humans as snarling monsters. The creatures are referred to as “roaches” in the episode, but they’re actually people who are victims of a genocidal campaign to “keep the human bloodline pure.” The MASS also suppresses the user’s sense of smell in the episode in order to make them less responsive to the smells of death they encounter. The approach is meant to make soldiers more effective and less likely to feel pangs of conscience when they fight the enemy.","XR, military, simulations",2016,2041,26,dystopia,Invasive,0.230769231,0.038709677,0.167741935,MASS,Charlie Brooker,Netflix,House of Tomorrow,5-Oct-16
61,Rick and Morty,"energy beam, helmet, tool","XR, control of the user, termination",,sitcom,"The Series 9000 Brainalyzer is the device used by Cornvelious Daniel, in The Rickshank Rickdemption, and the Galactic Federation in an attempt to obtain formula for interdimensional travel from Rick's brain. A session of its use will cause the subject's brain to be liquefied, which kills the subject and it also apparently shuts off when the subject's brain is liquified. A modified version of this instrument is used by Rick to switch between the bodies of various characters in his attempt to destroy the Citadel of Ricks and Galactic Federation.

In addition to its tendency to liquify the brains of its subjects in the event of a prolonged session, the Series 9000 appears to have technical limitations on what its 'actors' can do. While the actors in at least most Brainalyzer simulations will follow even the most ridiculous and impossible demands made by the subject (evidenced by Rick's lack of surprise when instructing the simulated Jerry to fold himself), the Series 9000's actors can be distinctly identified by their inability to fold themselves more than six times.","XR, assasination, consciousness, manipulation, memories, mind-sharing",2017,2146,130,dystopia,Non-invasive,0.038461538,0.032467532,0.844155844,Series 9000 Brainalyzer,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,2-Oct-17
62,American Dad,implant,"brain washing, manipulation",,sitcom,brainwashing/behaviour changing device,brainwash,2011,2071,61,dystopia,Semi-invasive,0.180327869,0.06875,0.38125,brain scrambling device,Seth MacFarlane,20th Television,"20th Television, Underdog Productions",27-Sep-11
63,Futurama,"chair, helmet",control of the user,,sitcom,brainwashing tool for robots - upgrading tool,"brainwash, manipulation",2002,2021,20,"dystopia, utopia",Non-invasive,1,0.118343195,0.118343195,robot upgrading station,"David X. Cohen, Ken Keeler, Matt Groening",20th Television,Rough Draft Studios,1-Sep-02
64,Suicide Squad,implant,stimulation,,"Movie, comics","The electrodes drilled into his skull, also serve the important purpose of Thinker being able to utilize his brain to its maximum potential, enabling him to really embody his name.",enhancement,2021,2121,101,"dystopia, utopia",Invasive,0.00990099,0.006666667,0.673333333,Thinking Cap,James Gunn,Warner Bros. Pictures,"Atlas Entertainment, DC Films",1-Aug-21
65,Suicide Squad,lifeform,control of the user,,"Movie, comics","Mind Control: Starro can, besides control individual targets via his parasites, mentally influence a sizable crowd of ordinary humans with relative ease. 
Remote Mental Influence: Even without a Starro parasite directly controlling a host, The larger Starro can influence minds on a more indirect level by reaching out to the dreaming within the resting subconscious mind. Able to appropriate induced sleep within a host to ensnare them within its own wakeless fantasy allowing it to probe and assimilate the minds of countless potential vessels that it can then seed with a smaller Starro organism later on. The victim/host will have nausea, headaches, fatigue, dizziness, migraines, heavy drowsiness, or blackouts while awake from Starro's telepathically effects.","group mind, parasites",2021,2121,101,dystopia,Semi-invasive,0.00990099,0.006666667,0.673333333,Starro,James Gunn,Warner Bros. Pictures,"Atlas Entertainment, DC Films",1-Aug-21
66,All-Flash #12,implant,stimulation,,"Movie, TV Series, comics","The electrodes drilled into his skull, also serve the important purpose of Thinker being able to utilize his brain to its maximum potential, enabling him to really embody his name.",enhancement,1943,2121,179,"dystopia, utopia",Invasive,0.441340782,0.346491228,0.785087719,Thinking Cap,Gardner Fox,Warner Bros. Television,Warner Bros. Television,1-Aug-43
67,Valerian and the City of a Thousand Planets,energy beam,N/A,,"Movie, comics",The Pearls can send out their soul or essence in the form of a wave to find a host if necessary,consciousness,2017,2521,505,utopia,Non-invasive,0.00990099,0.032467532,3.279220779,N/A,Luc Besson,EuropaCorp Distribution,"EuropaCorp, TF1 Films Productions",27-Aug-17
68,Valerian and the City of a Thousand Planets,"bullet, helmet",control of the user,,"Movie, comics",weapon that takes control of another creature's body and allows it to be piloted by a remote control operator.,"distance interfacing, military",2017,2071,55,"dystopia, utopia",Semi-invasive,0.090909091,0.032467532,0.357142857,N/A,Luc Besson,EuropaCorp Distribution,"EuropaCorp, TF1 Films Productions",27-Aug-17
69,Valerian and the City of a Thousand Planets,"helmet, hologram","dreams, linking, memory, reading thoughts",,"Movie, comics","Valerian's ship has a mind-scanning device that can read his thoughts, analyse his brainwaves and recreate images from his dreams.",memories,2017,2071,55,"dystopia, utopia",Non-invasive,0.090909091,0.032467532,0.357142857,N/A,Luc Besson,EuropaCorp Distribution,"EuropaCorp, TF1 Films Productions",27-Aug-17
70,Valerian and the City of a Thousand Planets,lifeform,"memory, tracking",,"Movie, comics","Cortex Jellyfishes inhabit the submerged areas on the south side of the Alpha space station such as the Galana Sea. They are often found attached to the blowholes of giant aquatic creatures called Bromosaurs where they feed off of the pure water that exits the blowhole. Due to living on the Bromosaurs' blowhole all year round, the Cortex Jellyfish become hypersensitive and one would have to be extremely delicate when dealing with them. Despite essentially acting as the wildlife of Alpha, the Cortex Jellyfishes are somewhat psychic and when a sapient being puts the Jellyfish on their head down to their shoulders and thinks of someone or something, the Cortex Jellyfish would show the current location of said person or object through a kind of osmosis. However, whoever chooses to use the Jellyfishes psychic abilities must take no longer than a minute to do so to prevent the Jellyfish from feeding on their memories.","memories, tracking",2017,2171,155,"dystopia, utopia",Non-invasive,0.032258065,0.032467532,1.006493506,Cortex Jellyfish,Luc Besson,EuropaCorp Distribution,"EuropaCorp, TF1 Films Productions",27-Aug-17
71,Valerian and the City of a Thousand Planets,lifeform,memory,,"Movie, comics","Glamopods possess psychic abilities to some extent. By making physical contact with another being, they can access their memories, which enables the Glamopod to assume the appearance and voice of someone they've never seen personally, but which is familiar to the person they're in contact with.",memories,2017,2271,255,"dystopia, utopia",Non-invasive,0.019607843,0.032467532,1.655844156,Glamopod,Luc Besson,EuropaCorp Distribution,"EuropaCorp, TF1 Films Productions",27-Aug-17
72,Meet the Robinsons,helmet,memory,,"Movie, comics","The Memory Scanner is a machine created by Lewis to find his mother. Lewis entered it into Joyce Williams Elementary School science fair. Bowler Hat Guy (under the control of DOR-15) stole it and passed it off as his own. First, a date is typed into a keypad. Then, the user's helmet scans the brain for the corresponding memory, and displays it on the screen. The image is shown as though the viewer is watching through the user's eyes and listening through the user's ears.
It also appears to be able to record a memory for later viewing, as shown when Lewis watched DOR-15's takeover of the world until Lewis returns to the present, warning Goob about DOR-15's true intentions and telling DOR-15 that he will never invented her, restoring the future.",memories,2007,2101,95,"dystopia, utopia",Non-invasive,0.157894737,0.091463415,0.579268293,Memory Scanner,Stephen Anderson,Buena Vista Pictures Distribution,"Walt Disney Animations, Walt Disney Pictures",26-Aug-07
73,X-Men,helmet,cerebral defense,,"Movie, comics, game","Telepathic Resistance/Immunity: The helmet protects its wearer from all but the strongest or most unexpected of telepathic attacks. This is achieved due to technology wired into the helmet itself. In the Ultimate Universe, Magneto's helmet protects him against psionic attacks. Quicksilver later copied the blueprints to mass produce it and sell it at the height of anti-Mutant hysteria after the Ultimatum event. A father was wearing a copy so he could murder his telepathic daughter in her sleep without either her or Jean Grey being alerted. Magneto may be able to create his signature helmet by manipulating any metal into the shape, this can be assumed, as despite the helmet being destroyed or taken from his possession, Magneto always has another.",cerebral defense,1963,2041,79,"dystopia, utopia",Non-invasive,0.746835443,0.283653846,0.379807692,N/A,"Jack Kirby, Stan Lee",20th Century Fox,"20th Century Fox, Marvel Studios",23-Aug-63
74,Rick and Morty,gun,"memory, reality",,"comics, game, sitcom",A gun that transports the user to the memories of their choosing - the bullets are the memories themselves. The bullets are derived from Memory Eraser Gun.,memories,2021,2221,201,"dystopia, utopia",Non-invasive,0.004975124,0.006666667,1.34,Memory Shift Gun,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,16-Aug-21
75,Rick and Morty,tool,tracking,,"comics, game, sitcom",scanner to track one's consciousness,tracking,2021,2096,76,"dystopia, utopia",Non-invasive,0.013157895,0.006666667,0.506666667,Meta-Cognition Scanner,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,16-Aug-21
76,Rick and Morty,tool,control of the user,,"comics, game, sitcom",AI created an implant to fully control the human user ,manipulation,2021,2121,101,dystopia,Invasive,0.00990099,0.006666667,0.673333333,N/A,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,1-Aug-21
77,Rick and Morty,helmet,"animal control, communication",,"comics, game, sitcom","The helmet was initially was supposed to mind-control the dogs, but its AI made them extremely intelligent instead. Once it was placed on the dog, it eventually became smart enough to figure out a lot more things about how the humans have been treating him and modifies the helmet to let him communicate with them. He becomes a harsh and cruel dog who soon learns of the humans' mistreatment of the canine race and uses his upgraded intelligence to raise a dog army to take over the world.","animal-BCI, communication",2013,2071,59,"dystopia, utopia",Non-invasive,0.152542373,0.056962025,0.373417722,IQ Enhancing Helmet,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,16-Aug-13
78,Rick and Morty,earpiece,"XR, dreams, reality",,"comics, game, sitcom",in-ear device for inception experience: initiate dream sharing and lucid dreaming.,"XR, sleep, unconsciousness",2013,2071,59,"dystopia, utopia",Semi-invasive,0.152542373,0.056962025,0.373417722,N/A,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,16-Aug-13
